challenge_id,challenge_type_disag,challenge_type
f129467c-29eb-47c9-bf21-c7ae61324321,AD HOC,Cobertura
8474a04e-cc2c-4d8b-99f7-71689ef632e3,AD HOC,Cobertura
3cfa883d-4f60-4783-a809-5bac1abf1c7f,AD HOC,Cobertura
3627406d-0891-42b6-8849-2f1f0d0fbb3e,CANCELADO,xxxxxxxxx
d75cd372-bf16-425a-b600-2bc543097985,AD HOC,Cobertura
ef4bb615-9b1d-4e8a-ad52-c91a0bf4f6ef,CANCELADO,xxxxxxxxx
fce7202d-f600-40da-9614-813f36457f00,CANCELADO,xxxxxxxxx
69b72391-793f-409d-b4d0-b088a192e782,AD HOC,Cobertura
5db28797-3a59-400e-a8d5-34ef11f6715e,CANCELADO,xxxxxxxxx
2c68adaa-c991-460e-8c20-399cca408ed3,AD HOC,Cobertura
d7519612-86fe-45c6-93cd-9d82326349be,CANCELADO,xxxxxxxxx
ee0be712-f86a-4a61-885e-961e4648c48c,CANCELADO,xxxxxxxxx
3d67ae9a-12a4-400c-a483-efe524b1980f,CANCELADO,xxxxxxxxx
7f267b0a-bc49-49ba-b0e5-19e611e6970b,CANCELADO,xxxxxxxxx
b31ac7e4-ada1-40df-b4a5-b5300b8af55c,CANCELADO,xxxxxxxxx
b062e96b-73a7-4a63-923b-c773230604ae,AD HOC,Cobertura
2afa7725-160b-46d6-9a92-0dbfe9f67298,AD HOC,Cobertura
795889da-90cd-493c-9199-05050e5de513,AD HOC,Cobertura
65c51547-bf48-4362-8c5c-b7288b8b9d02,CANCELADO,xxxxxxxxx
74c35cf5-c4fe-48ee-92b5-af271c0502aa,AD HOC,Cobertura
9db57e82-c223-4112-8ff7-fa16633daaf0,AD HOC,Cobertura
c37e75ff-0f40-4a4b-b8e6-376e16211f37,AD HOC,Cobertura
9f263c6a-317e-46f7-8cfc-2c991daca5bc,AD HOC,Cobertura
51efc711-0d69-4244-bf4d-b15a4df04acd,CANCELADO,xxxxxxxxx
430415dd-a5a3-4045-a727-a56e0c48baba,CANCELADO,xxxxxxxxx
fd9e0b95-e28f-492a-af36-25e686b60208,AD HOC,Cobertura
8d2bcb9a-95e4-4032-8e1f-4e5b3b294d69,CANCELADO,xxxxxxxxx
ab3fa153-c1f1-476c-958a-5bea99ad7d6f,CANCELADO,xxxxxxxxx
314e1cc9-0c4e-4da5-a60b-de0990ef913b,CANCELADO,xxxxxxxxx
0f974ae0-3fec-43f1-a93f-c19d4979e6a5,CANCELADO,xxxxxxxxx
503d3620-4f09-4d53-a0b2-78cfc643eb86,CANCELADO,xxxxxxxxx
18edf4e1-56c4-4f8a-ad2a-635f3f97f3f2,AD HOC,Cobertura
bf61e2d0-d4d5-4ddf-9506-2500dabdc8e5,CANCELADO,xxxxxxxxx
823b0846-7f90-4faa-abec-ffa9adaf16ba,CANCELADO,xxxxxxxxx
b85b4266-62d5-458b-83f5-b500de938632,CANCELADO,xxxxxxxxx
1e684d28-3616-4ed6-b0f1-c1cdc9c133f5,AD HOC,Cobertura
3824d4e6-3a15-44cf-867c-168467c6d448,AD HOC,Cobertura
bbfcb122-9aa7-4034-aea8-6ca767c4bbd2,AD HOC,Cobertura
c963333c-2bdd-440d-82cd-c4eda9492dfb,CANCELADO,xxxxxxxxx
6936b9f7-10e4-43a6-bb67-dae5f60399ec,AD HOC,Cobertura
03b32b35-6b5f-4298-96bf-d0fb06014966,CANCELADO,xxxxxxxxx
5f29606d-931d-45df-86cc-82499715beca,AD HOC,Cobertura
a8f9bb68-c8c4-4140-bcc8-e60dc7e1317d,CANCELADO,xxxxxxxxx
7543bedd-a02c-4d66-b815-44b38766865f,AD HOC,Cobertura
b06edceb-0b64-4bf2-a68a-450dcdf2a1d7,CANCELADO,xxxxxxxxx
