cliente_truck,cliente_chess,codigo_distri,codigo_bees
375184,60747,135958000,13595800060747
375216,60748,135958000,13595800060748
375222,60749,135958000,13595800060749
375229,60750,135958000,13595800060750
375323,60751,135958000,13595800060751
375423,60752,135958000,13595800060752
375622,60753,135958000,13595800060753
375631,60754,135958000,13595800060754
375880,60755,135958000,13595800060755
375904,60756,135958000,13595800060756
375907,60757,135958000,13595800060757
375944,60758,135958000,13595800060758
375953,60759,135958000,13595800060759
375958,60760,135958000,13595800060760
375966,60761,135958000,13595800060761
376026,60762,135958000,13595800060762
376195,60763,135958000,13595800060763
376369,60764,135958000,13595800060764
376382,60765,135958000,13595800060765
376512,60766,135958000,13595800060766
376588,60767,135958000,13595800060767
376912,60768,135958000,13595800060768
377153,60769,135958000,13595800060769
377341,60770,135958000,13595800060770
377437,60771,135958000,13595800060771
377751,60772,135958000,13595800060772
378268,60773,135958000,13595800060773
378540,60774,135958000,13595800060774
379224,60775,135958000,13595800060775
379392,60776,135958000,13595800060776
379484,60777,135958000,13595800060777
379646,60778,135958000,13595800060778
380084,60779,135958000,13595800060779
380539,60780,135958000,13595800060780
380711,60781,135958000,13595800060781
380725,60782,135958000,13595800060782
380730,60783,135958000,13595800060783
380734,60784,135958000,13595800060784
380736,60785,135958000,13595800060785
380868,60786,135958000,13595800060786
381035,60787,135958000,13595800060787
381148,60788,135958000,13595800060788
381261,60789,135958000,13595800060789
381284,60790,135958000,13595800060790
381306,60791,135958000,13595800060791
381350,60792,135958000,13595800060792
381351,60793,135958000,13595800060793
381869,60794,135958000,13595800060794
381945,60795,135958000,13595800060795
382078,60796,135958000,13595800060796
382256,60797,135958000,13595800060797
382282,60798,135958000,13595800060798
382285,60799,135958000,13595800060799
382363,60800,135958000,13595800060800
382577,60801,135958000,13595800060801
382595,60802,135958000,13595800060802
382782,60803,135958000,13595800060803
382909,60804,135958000,13595800060804
383111,60805,135958000,13595800060805
383131,60806,135958000,13595800060806
383491,60807,135958000,13595800060807
383638,60808,135958000,13595800060808
383686,60809,135958000,13595800060809
383696,60810,135958000,13595800060810
383815,60811,135958000,13595800060811
384074,60812,135958000,13595800060812
384083,60813,135958000,13595800060813
384226,60814,135958000,13595800060814
384230,60815,135958000,13595800060815
384239,60816,135958000,13595800060816
384504,60817,135958000,13595800060817
384548,60818,135958000,13595800060818
384626,60819,135958000,13595800060819
384737,60820,135958000,13595800060820
384761,60821,135958000,13595800060821
384846,60822,135958000,13595800060822
384888,60823,135958000,13595800060823
384892,60824,135958000,13595800060824
384918,60825,135958000,13595800060825
384920,60826,135958000,13595800060826
384975,60827,135958000,13595800060827
385002,60828,135958000,13595800060828
385009,60829,135958000,13595800060829
385012,60830,135958000,13595800060830
385056,60831,135958000,13595800060831
385083,60832,135958000,13595800060832
385156,60833,135958000,13595800060833
385165,60834,135958000,13595800060834
385175,60835,135958000,13595800060835
385200,60836,135958000,13595800060836
385228,60837,135958000,13595800060837
385254,60838,135958000,13595800060838
385277,60839,135958000,13595800060839
385340,60840,135958000,13595800060840
385341,60841,135958000,13595800060841
385354,60842,135958000,13595800060842
385504,60843,135958000,13595800060843
385540,60844,135958000,13595800060844
385592,60845,135958000,13595800060845
385677,60846,135958000,13595800060846
385771,60847,135958000,13595800060847
385777,60848,135958000,13595800060848
385796,60849,135958000,13595800060849
385904,60850,135958000,13595800060850
385920,60851,135958000,13595800060851
386019,60852,135958000,13595800060852
386144,60853,135958000,13595800060853
386180,60854,135958000,13595800060854
386308,60855,135958000,13595800060855
386321,60856,135958000,13595800060856
386377,60857,135958000,13595800060857
386517,60858,135958000,13595800060858
386763,60859,135958000,13595800060859
386773,60860,135958000,13595800060860
386803,60861,135958000,13595800060861
386886,60862,135958000,13595800060862
387044,60863,135958000,13595800060863
387051,60864,135958000,13595800060864
387957,60865,135958000,13595800060865
388068,60866,135958000,13595800060866
388083,60867,135958000,13595800060867
388155,60868,135958000,13595800060868
388245,60869,135958000,13595800060869
